"Sr no.","Name of the Inventor","Title of the Invention","IPA No.","Filed on","Patent Grant No.","Date"
"99","Dr. Dhirendra Katti, BSBE, Neha Arya, Ph.D. student (BSBE) & Syandan Chakraborty M.Tech. (BSBE)","A Process for Synthesis of Polymeric Micro/nano-particles for Drug (Bioactive Agent) Delivery Applications","645/DEL/2008","14.03.2008","285405","19.07.2017"
"98","Mr. Saumen Mandal, Prof. Monica Katiyar, MSE & SCDT","Organic Thin Film Transistors and Methods for Their Manufacturing and Use","US - 14/782,600","05.10.2015","9680097","13.06.2017"
"97","Dr. Partha Sarathi Sensharma, EE & Rakesh Kr. Sinha, M.Tech student (EE)","Improved Single Phase Phase-locked Loop","349/DEL/2007","20.02.2007","283338","16.05.2017"
"96","Mr.Sachin NP, MDES","Tea Maker","283233","07.05.2016","Design","05.05.2017"
"95","Dr. Jamuna R. Subramaniam, Senior Research Scientist, BSBE & Upasna Arya, Graduate Student, BSBE","A Composition & Mechanism to Extend Life Span of an Organism and Protection Against Neo Degenerative Diseases","1971/DEL/2008","20.08.2008","281643","01.05.2017"
"94","Dr. J. Ram Kumar, ME & Sunil Jha Student (ME)","Magnetic Float Levitative Finishing","883/DEL/2007","20.04.2007","284310","20.04.2017"
"93","Dr. S. Anantha Ramakrishna, Phy and Mr. Govind Dayal Singh","Metamaterial Structures for Q-switching in Lasers","US - 14/131,899","17.04.2013","9627840","18.04.2017"
"92","Mr. Shobit Gautam, Mr. Rahul Kothari, Mr. Ashwin Gandhi, Mr. Ankit Belchandan and Dr. Nachiketa Tiwari","Door Latch with Inbuilt Locking System","280700","22.02.2016","Design","27.03.2017"
"91","Dr.J.Ramkumar(ME), Dr. Raman Saxena(ISB), Mr. Shailendra Kumar(DP)","Milkman Bicycle","289822","04.01.2017","Design","10.03.2017"
"90","Dr. Kamal K Kar, ME, Mr. Ariful Rahman, PhD student, ME","Carbon Nanofiber/carbon Nanocoil Coated Substrate and Nano Composites","2013-528775Japan","09.11.2010","6106086","10.03.2017"
"9","Prof. S. Sundar Manoharan (Chem)","A Magneto Conductive Polymer Compositon for Read and Write Head and a Process for Preparation Thereof","859/DEL/2000","22.09.2000","216743","19.03.2008"
"89","Ms.Jhumkee (Chandravalee) Iyenger, VisitingFaculty, Design program, Mr.R.Prithvi Raj (Student,Design program) andMr.M.Kirti Kalyan (Student,Design program)","Career Cards(Copyright)","1525/2016-CO/L","05.02.2016","L-64980/2017","06.03.2017"
"88","Dr. Sudeep Bhattacharjee, Physics, Mr. Jose V. Mathew, PhD Student","Focused Ion Beam Systems and Methods of Operation","US - 14/891,046","18.03.2014","9576767","21.02.2017"
"87","Dr. Chandravalee Iyengar, Ms. Mitali Bhasin, MR. Sachin N P, Ms. Sneha Parhi, Mr. Swayamsidha Panigrahi, Ms. Apoorva Aggarawal","Project Umbrella(Copyright)","2325/2016-CO/L","26.02.2016","L-64765/2017","14/02/2017"
"86","Prof. Ashutosh Sharma (Chemical Engg), Mr. Sandip Patil, Research Sacholar,(Chemical Engg)","Composite Reusable Adhesives","US - 13/982,458","09.03.2012","9540546","10.01.2017"
"85","Prof. Baquer Mazhari, (EE), Ms. Ankita Gangwar","Organic Thin Film Transistor Merged with a Light Emitting Diode Using an Accumulation Layer as Electrode","US - 14/644,220","11.03.2015","9536935","03.01.2017"
"84","Prof. Ashutosh Sharma (Chemical Engg.), Mr. Ankur Verma (Student), G U Kulkarni, (JNCASR)","Micropattern Generation with Pulsed Laser Diffraction","US - 14/016,281","03.09.2013","9527730","27.12.2016"
"83","Prof.Baquer Mahari, EE, Ms. Ankita Gangwar, Student","Thin Film Transistor with a Current- Induced Channel","US - 14/380,726","20.06.2013","9515273","06.12.2016"
